act0,CPUE,biomass,month,action,cluster,act1
-0.9640276,-0.9855103197857142,-0.6659283794385714,5,act0,0,
-0.9640276,-0.9968557274846626,-0.7838668418404906,5,act0,1,
,-0.985524678591026,-0.6658233587939411,5,act1,0,-0.03931154784302021
,-0.9966048644806518,-0.7848832523217921,5,act1,1,-0.7586945385295318
-0.9640276,-0.9885909249576728,-0.6125393513544712,6,act0,0,
-0.9640276,-0.9968756249395161,-0.7298392223790321,6,act0,1,
,-0.9885909249576728,-0.6125393513544712,6,act1,0,0.3030380258041537
,-0.9968756249395161,-0.7298392223790321,6,act1,1,0.11951207236385081
-0.9640276,-0.9914166019310132,-0.537867438631044,7,act0,0,
-0.9640276,-0.9972205427744512,-0.6645792944311377,7,act0,1,
,-0.9914230119871594,-0.5365854397228312,7,act1,0,-0.28543513461572495
,-0.9961240563546798,-0.6555513216912972,7,act1,1,-0.721595049129721
-0.9156609115944081,-0.990304479713325,-0.6149476412457973,8,act0,0,
-0.9627724805423474,-0.9752159680014859,-0.8246455710995544,8,act0,1,
,-0.9905388928956292,-0.6067324446194423,8,act1,0,0.3158255110736852
,-0.9775434365304915,-0.8078781784132626,8,act1,1,-0.2594329932114867
-0.9631389127168632,-0.9737274084820169,-0.7825864354971791,9,act0,0,
0.9522582491717123,-0.8543547934789155,-0.8516311171460843,9,act0,1,
,-0.9738285724611306,-0.7824578742120142,9,act1,0,-0.07360802367343551
,-0.854996497402985,-0.8515558340820896,9,act1,1,0.9607073584179346
-0.9639517631672134,-0.9723291035277483,-0.74127754873807,10,act0,0,
0.07749145227220833,-0.8658632375391497,-0.7975276672706936,10,act0,1,
,-0.972336779345943,-0.7412704489057804,10,act1,0,-0.24327034337019954
,-0.8659102150074515,-0.7975156804098361,10,act1,1,0.6826283749031283
-0.9640276,-0.9620516871463867,-0.7401386516491661,4,act0,0,
-0.9640276,-0.9776337382286245,-0.6903909875111525,4,act0,1,
,-0.9775878043668286,-0.690056188608517,4,act1,0,-0.21249561808777756
,-0.9624474702613982,-0.7404420401337386,4,act1,1,0.2666500682195745
