algorithm,obs_type,mean_rew,var_rew
ppo,count,-7.839711706578889,3.2262926455798695
ppo,count-biomass-time,-7.655120261259757,6.419178365993521
ppo,count-time,-8.556171322742301,9.003670913075954
ppo,size-time,-8.194556980313786,3.316350525408801
td3,count,-12.406704798521792,39.291343664586485
td3,count-biomass-time,-7.920902966042584,3.4315208023610904
td3,count-time,-16.177410310450387,38.44542009645726
td3,size-time,-13.221938102613462,26.929622441385657
tqc,count,-9.512286112168898,10.418471929735437
tqc,count-biomass-time,-7.53375339033498,2.9072875083877827
tqc,count-time,-9.589674629260909,6.050932953956655
tqc,size-time,-9.059436984429754,6.663187792861249
