t,obs0,obs1,act0,act1,act2,rew,rep,crab_pop,nonlocal_crab
0,-1.0,-1.0,-1.0,-1.0,-0.8970740572523334,0.0,0,"[2.53359629e-03 4.20014803e-02 4.79809278e-01 3.77968651e+00
 2.05455958e+01 7.71123714e+01 1.99939579e+02 3.58276027e+02
 4.43805917e+02 3.80072930e+02 2.25013578e+02 9.20697918e+01
 2.60271602e+01 5.08063612e+00 6.84431470e-01 6.35876831e-02
 4.07138635e-03 1.79526689e-04 5.44790572e-06 1.13698025e-07
 1.63108360e-09]",[]
1,-0.17662483,-0.735047,-1.0,-1.0,-0.8970740572523334,-0.20567657071442552,0,"[1.6942307743222824e-12 3.515471791107061e-07 0.0015611735743858014
 0.25985048027792923 10.150055288333482 125.88223715795492
 770.5552571421998 2530.0200280801596 4356.21923799703 3963.174370574247
 2120.1414818686803 756.3726863116478 178.97163627836872
 29.083159125235575 2.7351726300448997 0.4220940082335659
 0.011162436598336378 9.095701774319842e-06 1.6284718018511057e-10
 1.1102230246251565e-16 0.0]",[]
2,-0.348917,-0.7089432,-1.0,-1.0,-0.8970740572523334,-0.26369626664299406,0,"[4.0360864083037e-18 3.38741518498139e-11 5.63387600576032e-06
 0.019972236518682428 2.1489825192227547 37.15465347555352
 286.72885428996693 1143.5297506906916 2358.441443310622 2610.886136054442
 1761.2367361288111 828.8030721776383 279.6336665966145 62.29413525439216
 7.553883453633981 0.557401152157122 0.011297926939877634
 9.098722845712892e-06 1.6284817938583274e-10 1.1102230246251565e-16 0.0]",[]
3,-0.5585175,-0.67843324,-1.0,-1.0,-0.8970740572523334,-0.2892831948371994,0,"[8.969081115005298e-19 7.52759654217584e-12 1.2520210690973922e-06
 0.004444760644288723 0.4961869237586795 10.095271638113639
 100.07519937719667 478.8130580282193 1153.2834706614692
 1529.1735391577745 1266.2110389622533 724.6482074262522
 293.67809075337266 88.02882002814147 16.880016291688733 1.578824078663031
 0.03380336578085297 2.729415444657768e-05 4.885438720236834e-10
 3.3306690738754696e-16 0.0]",[]
4,-0.70308745,-0.64944077,-1.0,-1.0,-0.8970740572523334,-0.3108507131667232,0,"[3.526365454980142e-26 1.2298103512647967e-17 8.256767010919617e-11
 1.1012001307590625e-05 0.03146001422071865 2.6973325811232933
 33.84380288275133 189.22751868693604 516.6245445956149 786.2698137934464
 784.2580900437018 531.1469507911368 255.02332397996128 93.66521435780446
 24.19520052221828 4.5711969889841 0.4372459090889186 0.008288410826993942
 5.430022784747024e-06 7.801792545336639e-11 0.0]",[]
5,-0.82161933,-0.62135375,-1.0,-1.0,-0.8970740572523334,-0.3317580982719203,0,"[7.052730919876764e-27 2.4596208483221467e-18 1.6513574648230952e-11
 2.2026184769424842e-06 0.006315345742295726 0.5932648238591638
 10.496953982895807 72.93200568128523 226.2608278053986 375.421546465159
 407.18155912734505 327.1718096829823 203.10227673512574 90.66521575226146
 28.224512407701003 7.097677808702627 0.8294808885658409
 0.01654043079076084 1.0859394178108772e-05 1.5603540681752293e-10 0.0]",[]
6,-0.9040086,-0.5974312,-1.0,-1.0,-0.8970740572523334,-0.3525127993996302,0,"[8.128262023925485e-36 1.195020931442753e-25 3.3300320688936995e-17
 1.788650143606321e-10 1.9133146721339076e-05 0.044064677594208436
 2.995952072837181 25.598557668037902 86.04768234262806 163.6903342154145
 207.4449956045022 196.14330331832582 148.19532271067638 80.31730683892249
 32.47700208786598 10.131496158397539 1.872748671854065
 0.04118735367381898 2.7145554195806554e-05 3.90086518642363e-10 0.0]",[]
7,-0.9436488,-0.55337065,-1.0,-1.0,-0.8970740572523334,-0.37320590107654866,0,"[8.12826202468821e-37 1.1950209362111199e-26 3.330032628678224e-18
 1.7886626082096832e-11 1.913850349458529e-06 0.004452435680655358
 0.38492423875209536 7.072159184960517 30.81985371325894 65.2144192457127
 94.96968291467606 102.07473348233827 86.91324288512803 54.01347277909676
 24.905919726318498 11.678983584141347 2.8823034798015668
 0.06580698441650912 4.3431225670298446e-05 6.241372974002957e-10 0.0]",[]
8,-0.9689097,-0.507115,-1.0,-1.0,-0.8970740572523334,-0.3938727100143614,0,"[4.96994575e+03 2.37514019e+03 5.47032526e-01 3.78440066e-09
 0.00000000e+00 0.00000000e+00 0.00000000e+00 5.00000000e+00
 2.10000000e+01 4.90000000e+01 7.50000000e+01 8.40000000e+01
 7.40000000e+01 4.40000000e+01 2.30000000e+01 1.10000000e+01
 2.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",[6907.15466297]
9,-0.9777186,-0.51876503,-1.0,-1.0,-0.8970740572523334,-0.4145409271969021,0,"[479.90661748211096 3563.42569563014 2787.712898860674 506.253111495813
 5.934064622359036 0.002716468888327658 0.018318109683874845
 1.016513453701835 6.888576120149732 18.150674674529796 28.73288343284859
 41.31929311739682 49.226531599261406 38.59678598013865 18.56856403109922
 8.759683538879731 4.048216905824058 0.661924365217043
 0.012018659418640554 6.401759768848159e-06 7.381917299653651e-11]",[6907.15466297]
10,-0.9865275,-0.4238588,-1.0,-1.0,-0.8970740572523334,-0.4352051724123471,0,"[47.22662658994982 714.5671563379487 2822.541163047623 2629.7650578753105
 817.5850345748726 80.88346167869584 1.2087500830218598 0.337462072537147
 2.093145967961164 6.457511714661483 12.012667088260391 14.634211803486423
 22.37881757386999 23.02186719286783 13.11334598011241 5.871538534208884
 1.7486723676980005 0.32280565845006404 0.0060039020478193095
 3.2008018681084494e-06 3.6909586498268254e-11]",[6907.15466297]
11,-0.9932638,-0.43227792,-1.0,-1.0,-0.8970740572523334,-0.45588589092920745,0,"[4.827262458296513 113.50512224995383 865.9811987894699 2435.3557270704287
 2371.234479488815 937.8372093880877 150.9881351071069 8.225317091875654
 0.7400586357566967 2.0603176779510552 4.272723152872507 6.266868166358327
 6.238201906998097 11.72693358954834 10.822815920158074 3.4729055502228188
 0.41466515068908705 0.008270213716997099 5.4296970884992746e-06
 7.801770340876146e-11 0.0]",[6907.15466297]
