t,rep,td3Agent_rew,ppoAgent_rew,tqcAgent_rew,recurrentPPOAgent_rew,constantAgent_rew
0,0,0.0,0.0,0.0,0.0,0.0
1,0,-0.0199509583862777,-0.0152389970419287,-0.0255193695735356,-0.0024194683437651,-0.0206464563164283
2,0,-0.0260473969112962,-0.0502346551195428,-0.0470498589387379,-0.0043327583548207,-0.0412929126328566
3,0,-0.0382488867828495,-0.0809293467728183,-0.0580627151455743,-0.0267409042281668,-0.0619393689492849
4,0,-0.0653680123957127,-0.0926673870924076,-0.0799105247622414,-0.0301200700013119,-0.0825858252657133
5,0,-0.1026569323665652,-0.1062067919226723,-0.0973826049070661,-0.0442788928756904,-0.1032322815821416
6,0,-0.109415511164926,-0.1103676104682178,-0.1164507783949898,-0.0646463780053961,-0.1238787378985699
7,0,-0.1365656978687141,-0.1185119637754701,-0.1376956583241569,-0.1255332065394631,-0.1445251942149983
8,0,-0.1415442187933095,-0.1285015735856347,-0.1583988155360389,-0.1266154578498237,-0.1651716505314266
9,0,-0.1533316577288387,-0.146740933899627,-0.1762246110942751,-0.1271592314582962,-0.185818106847855
10,0,-0.1875783592494837,-0.16895805268961,-0.202792641397814,-0.1374683386496358,-0.2064649051952507
11,0,-0.1961836796039406,-0.2496333069466468,-0.224470995872702,-0.1389471554519839,-0.2271163223026898
12,0,-0.2129290186703324,-0.2647976601962963,-0.2399714090238407,-0.1611617122869626,-0.2477822618395629
13,0,-0.2505549312196124,-0.2779271763662778,-0.4332513165617184,-0.1640197486465353,-0.2684764220371237
14,0,-0.3005608111814434,-0.2878025707332236,-0.7378385958609839,-0.1774033342047581,-0.2892152040570195
15,0,-0.3067197892192136,-0.3006145226914332,-1.0995969784028978,-0.1969690401363356,-0.310012987995616
16,0,-0.3280452977721091,-0.326218925706258,-1.2529769464254867,-0.2570834925277921,-0.3308522856367859
17,0,-0.3330256729412326,-0.3442168851322132,-1.3347659047572231,-0.2582209150589637,-0.3516914663764935
18,0,-0.3479385394833321,-0.3617860639382086,-1.3912751478451983,-0.258826688142269,-0.3724898420313572
19,0,-0.3827232184107889,-0.3837935591839509,-1.420799076695205,-0.27024907595819,-0.3932337988556129
20,0,-0.391541368507562,-0.4646211814126558,-1.4480146551798785,-0.3043942421252542,-0.4139608099509425
21,0,-0.4098471984201511,-0.4834514323310863,-1.4661275124283608,-0.5344828788147802,-0.4347127142876107
22,0,-0.4486965216313873,-0.4964967732850262,-1.5372116547579988,-0.7990908831594149,-0.4555365253376524
23,0,-0.4988542095336148,-0.5095624213331816,-1.5590734564928934,-1.0717477215442957,-0.4765145796866444
24,0,-0.5051989709293873,-0.5287086581077631,-1.5791269909244992,-1.3482591951450509,-0.4977277801490753
25,0,-0.5271798153271526,-0.5539137352767807,-1.5960015197204973,-1.6801913209259451,-0.519151760548036
26,0,-0.5332925186495278,-0.5719104039592023,-1.6122250522502537,-1.7899625601724034,-0.5405694140478939
27,0,-0.5520417463328586,-0.5893436123981443,-1.62888641295298,-1.875887028062304,-0.5617351166975736
28,0,-0.5883957388066108,-0.6124201803384249,-1.6526317670297084,-1.892746893920389,-0.5826802233515234
29,0,-0.5986202720658267,-0.6932097780598261,-1.6771502275673404,-1.9077782979165845,-0.6038723717147647
30,0,-0.6174584631815442,-0.7110184181783469,-1.7002325894114916,-1.9331319659775923,-0.6300284434560062
31,0,-0.6556609063088399,-0.7237404721769221,-1.7210983530328174,-1.9407866211339464,-0.7660947039106938
32,0,-0.7059240396157711,-0.7401470122229402,-1.7431157267937796,-1.957816385504381,-1.046996365151096
33,0,-0.7122113583527195,-0.7481295233299703,-1.7635335118782558,-1.9760483588480795,-1.3324883416374549
34,0,-0.7343853434746492,-0.7656957549540656,-1.7831706103692715,-2.030558204844889,-1.618064567908362
