t,obs0,obs1,act0,act1,act2,rew,rep,crab_pop
0,-1.0,-1.0,-1.0,-0.63623106,-1.0,0.0,0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
1,-0.98607177,-0.6886355,-1.0,-0.1424711,-1.0,-0.01523899704192878,0,"[5.903732968633949 139.31532553692614 1058.8341690541884 2962.020107860943
 2889.3012699878336 1139.2812212374388 215.33062099830687
 143.81615941536813 355.1354230277717 569.4985949845187 536.4347915785064
 319.7208166825415 134.15070866061654 62.690009985927574
 42.305248203247594 25.84163260492735 11.889233120839291
 3.1906273541189942 0.30933739014174977 0.004343305688118249
 1.8641288168641523e-06]"
2,-0.9885874,-0.6568265,-1.0,-0.25331214,-1.0,-0.05023465511954289,0,"[0.5789475428926756 20.27931606876886 241.05245581342626
 1212.0381682509071 2694.081153774533 2556.7721383797516
 1098.2099715877773 262.84124336837783 169.9523914671149 308.2778973502318
 379.7548967785263 304.6887682712855 166.93485569261546 71.08672965438156
 33.97204844579802 19.436747251639947 9.176644367946695 2.5615200835242113
 0.2973404447889 0.004336904240416994 1.8640549976911558e-06]"
3,-0.98775035,-0.71392506,-1.0,-0.7413306,-1.0,-0.08092934677281838,0,"[0.014406834392807533 2.5855213116391105 48.26850322594601
 364.98500451356875 1354.4429208901624 2479.3781946793606
 2170.422388679252 917.2964904687763 242.25118261807978 168.29265494727838
 241.76952322755287 250.0514387712787 175.99560202579815 84.14261858562111
 31.97603373154534 17.878418369441167 10.158375409183053
 3.5173912332438357 0.5646668109899569 0.008657804549512482
 3.7279254474498202e-06]"
4,-0.98494864,-0.7557099,-1.0,-0.71371734,-1.0,-0.09266738709240763,0,"[0.0014452627642360465 0.28345266959617854 8.482511423263336
 93.57399928770612 512.6981467700812 1501.3884715717256 2301.0117872194196
 1809.9438189390037 750.0196124661487 247.6845061765739 187.25635255203238
 223.7444735785249 193.9874591905517 112.00783234153825 48.84473085057023
 21.272344353035695 11.88893102405773 5.053175860175793 0.843957552015147
 0.012985105838208222 5.591869716381481e-06]"
5,-0.97820336,-0.7675322,-1.0,-1.0,-1.0,-0.1062067919226723,0,"[1.169246513819139e-06 0.006369441135163749 0.985287069423949
 20.692866138632006 165.71499954841676 683.0513930344904
 1582.8739515215698 2016.4899346376262 1404.8881462363915
 576.6374596358374 220.1698248706363 188.17640262663136 186.5281110955912
 134.60601248526163 68.91212313259508 29.530810162647928 13.17381386603472
 5.445855860725345 1.0993304060431868 0.017299605323741085
 7.455666346967149e-06]"
6,-1.0,-1.0,-1.0,-1.0,-1.0,-0.11036761046821786,0,"[3.3884308743886035e-11 7.0283691492585984e-06 0.030795314267004714
 3.681434364711581 46.2926016241663 263.7665843127832 867.977975192997
 1659.9901790877088 1819.413363117207 1164.3317955881155 485.3240577208529
 226.2941743160047 191.7886148376943 158.71043710368278 95.8786575421332
 44.68642563855359 19.065213071798542 7.4650979009949054 2.051097460238352
 0.24840135315329215 0.0030863523862572073]"
7,-1.0,-1.0,-1.0,-0.8055558,-1.0,-0.11851196377547019,0,"[6.75005459e+03 3.22585533e+03 7.42965739e-01 1.00000001e+00
 1.60000000e+01 1.37000000e+02 5.54000000e+02 1.14000000e+03
 1.35700000e+03 8.71000000e+02 3.94000000e+02 1.85000000e+02
 1.54000000e+02 1.36000000e+02 8.60000000e+01 4.10000000e+01
 1.70000000e+01 6.00000000e+00 2.00000000e+00 0.00000000e+00
 0.00000000e+00]"
8,-0.9766857,-0.70393145,-1.0,-0.5984167,-1.0,-0.1285015735856347,0,"[651.7970280442903 4839.75463898165 3786.20268555262 687.7824299593591
 12.307751209304456 44.39730210523467 239.9838170552061 690.9984489728428
 1150.1299359081363 1142.0219542922937 678.3147760353786
 307.64263412872174 169.2490004499295 137.7934377730809 100.67551121078043
 55.4582951776381 24.13308195251394 8.53652981016348 2.7355435741840664
 0.4751822007517629 0.006163385235717689]"
9,-0.97662586,-0.674977,-1.0,-0.49946466,-1.0,-0.14674093389962709,0,"[64.28838875854201 972.6273534176463 3844.022445232337 3591.400488345015
 1116.6615319270954 124.30510939911828 91.08298791368843
 330.11433819174266 717.9397672901981 961.802820839036 815.6737354137966
 450.0771103871811 212.33214887065338 131.85941291954188 99.40010016753162
 62.014198303055146 29.234328201015266 11.085658675518003
 3.282198681798961 0.4838304028956729 0.006167113050436379]"
