start training greencrab
Start training for LSTM_PPO
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to /home/rstudio/logs/RecurrentPPO_6
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 101      |
|    ep_rew_mean     | -119     |
| time/              |          |
|    fps             | 296      |
|    iterations      | 1        |
|    time_elapsed    | 0        |
|    total_timesteps | 128      |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -123         |
| time/                   |              |
|    fps                  | 16           |
|    iterations           | 2            |
|    time_elapsed         | 15           |
|    total_timesteps      | 256          |
| train/                  |              |
|    approx_kl            | 0.0003525708 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.26        |
|    explained_variance   | 4.36e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 125          |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.0028      |
|    std                  | 1            |
|    value_loss           | 260          |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 101           |
|    ep_rew_mean          | -124          |
| time/                   |               |
|    fps                  | 16            |
|    iterations           | 3             |
|    time_elapsed         | 23            |
|    total_timesteps      | 384           |
| train/                  |               |
|    approx_kl            | 0.00027276017 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | -0.00102      |
|    learning_rate        | 0.0003        |
|    loss                 | 155           |
|    n_updates            | 20            |
|    policy_gradient_loss | -0.00169      |
|    std                  | 1             |
|    value_loss           | 334           |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 101           |
|    ep_rew_mean          | -116          |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 4             |
|    time_elapsed         | 33            |
|    total_timesteps      | 512           |
| train/                  |               |
|    approx_kl            | 0.00023878412 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | -0.027        |
|    learning_rate        | 0.0003        |
|    loss                 | 72.9          |
|    n_updates            | 30            |
|    policy_gradient_loss | -0.00211      |
|    std                  | 1             |
|    value_loss           | 175           |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 101           |
|    ep_rew_mean          | -113          |
| time/                   |               |
|    fps                  | 13            |
|    iterations           | 5             |
|    time_elapsed         | 47            |
|    total_timesteps      | 640           |
| train/                  |               |
|    approx_kl            | 0.00025701616 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.26         |
|    explained_variance   | -0.0126       |
|    learning_rate        | 0.0003        |
|    loss                 | 84.1          |
|    n_updates            | 40            |
|    policy_gradient_loss | -0.00131      |
|    std                  | 0.999         |
|    value_loss           | 176           |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 101           |
|    ep_rew_mean          | -111          |
| time/                   |               |
|    fps                  | 13            |
|    iterations           | 6             |
|    time_elapsed         | 57            |
|    total_timesteps      | 768           |
| train/                  |               |
|    approx_kl            | 0.00059596635 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.25         |
|    explained_variance   | -0.0751       |
|    learning_rate        | 0.0003        |
|    loss                 | 79            |
|    n_updates            | 50            |
|    policy_gradient_loss | -0.00434      |
|    std                  | 0.998         |
|    value_loss           | 162           |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -111         |
| time/                   |              |
|    fps                  | 13           |
|    iterations           | 7            |
|    time_elapsed         | 66           |
|    total_timesteps      | 896          |
| train/                  |              |
|    approx_kl            | 0.0015631816 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.25        |
|    explained_variance   | -0.0473      |
|    learning_rate        | 0.0003       |
|    loss                 | 55.7         |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00665     |
|    std                  | 0.996        |
|    value_loss           | 114          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -107         |
| time/                   |              |
|    fps                  | 13           |
|    iterations           | 8            |
|    time_elapsed         | 74           |
|    total_timesteps      | 1024         |
| train/                  |              |
|    approx_kl            | 0.0024838918 |
|    clip_fraction        | 0.000781     |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.24        |
|    explained_variance   | 0.002        |
|    learning_rate        | 0.0003       |
|    loss                 | 76.9         |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00355     |
|    std                  | 0.995        |
|    value_loss           | 157          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -103         |
| time/                   |              |
|    fps                  | 13           |
|    iterations           | 9            |
|    time_elapsed         | 88           |
|    total_timesteps      | 1152         |
| train/                  |              |
|    approx_kl            | 0.0009895256 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.24        |
|    explained_variance   | -0.054       |
|    learning_rate        | 0.0003       |
|    loss                 | 50           |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00084     |
|    std                  | 0.994        |
|    value_loss           | 102          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -101         |
| time/                   |              |
|    fps                  | 13           |
|    iterations           | 10           |
|    time_elapsed         | 97           |
|    total_timesteps      | 1280         |
| train/                  |              |
|    approx_kl            | 0.0015574167 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.24        |
|    explained_variance   | -0.0427      |
|    learning_rate        | 0.0003       |
|    loss                 | 29.5         |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00496     |
|    std                  | 0.993        |
|    value_loss           | 60.6         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -98.3        |
| time/                   |              |
|    fps                  | 13           |
|    iterations           | 11           |
|    time_elapsed         | 106          |
|    total_timesteps      | 1408         |
| train/                  |              |
|    approx_kl            | 0.0044013467 |
|    clip_fraction        | 0.00313      |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.23        |
|    explained_variance   | -0.0299      |
|    learning_rate        | 0.0003       |
|    loss                 | 49.3         |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00772     |
|    std                  | 0.99         |
|    value_loss           | 101          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -93.4       |
| time/                   |             |
|    fps                  | 13          |
|    iterations           | 12          |
|    time_elapsed         | 115         |
|    total_timesteps      | 1536        |
| train/                  |             |
|    approx_kl            | 0.020856008 |
|    clip_fraction        | 0.109       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.22       |
|    explained_variance   | -0.0327     |
|    learning_rate        | 0.0003      |
|    loss                 | 36.3        |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0183     |
|    std                  | 0.986       |
|    value_loss           | 74.1        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -89.7      |
| time/                   |            |
|    fps                  | 13         |
|    iterations           | 13         |
|    time_elapsed         | 127        |
|    total_timesteps      | 1664       |
| train/                  |            |
|    approx_kl            | 0.02329613 |
|    clip_fraction        | 0.141      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.21      |
|    explained_variance   | -0.0524    |
|    learning_rate        | 0.0003     |
|    loss                 | 18         |
|    n_updates            | 120        |
|    policy_gradient_loss | -0.0113    |
|    std                  | 0.983      |
|    value_loss           | 36.9       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -86.6       |
| time/                   |             |
|    fps                  | 12          |
|    iterations           | 14          |
|    time_elapsed         | 139         |
|    total_timesteps      | 1792        |
| train/                  |             |
|    approx_kl            | 0.010062953 |
|    clip_fraction        | 0.0383      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.2        |
|    explained_variance   | -0.0789     |
|    learning_rate        | 0.0003      |
|    loss                 | 4.84        |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00901    |
|    std                  | 0.982       |
|    value_loss           | 10.1        |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 101           |
|    ep_rew_mean          | -82.2         |
| time/                   |               |
|    fps                  | 12            |
|    iterations           | 15            |
|    time_elapsed         | 150           |
|    total_timesteps      | 1920          |
| train/                  |               |
|    approx_kl            | 0.00076592853 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -4.2          |
|    explained_variance   | -0.113        |
|    learning_rate        | 0.0003        |
|    loss                 | 10.7          |
|    n_updates            | 140           |
|    policy_gradient_loss | 0.00252       |
|    std                  | 0.981         |
|    value_loss           | 22.2          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -80.2        |
| time/                   |              |
|    fps                  | 12           |
|    iterations           | 16           |
|    time_elapsed         | 165          |
|    total_timesteps      | 2048         |
| train/                  |              |
|    approx_kl            | 0.0036968212 |
|    clip_fraction        | 0.00391      |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.2         |
|    explained_variance   | -0.0103      |
|    learning_rate        | 0.0003       |
|    loss                 | 19           |
|    n_updates            | 150          |
|    policy_gradient_loss | -0.00376     |
|    std                  | 0.98         |
|    value_loss           | 38.5         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -78.2       |
| time/                   |             |
|    fps                  | 12          |
|    iterations           | 17          |
|    time_elapsed         | 178         |
|    total_timesteps      | 2176        |
| train/                  |             |
|    approx_kl            | 0.023081288 |
|    clip_fraction        | 0.128       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.19       |
|    explained_variance   | -0.0615     |
|    learning_rate        | 0.0003      |
|    loss                 | 12.3        |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.00926    |
|    std                  | 0.979       |
|    value_loss           | 25.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -76.4       |
| time/                   |             |
|    fps                  | 12          |
|    iterations           | 18          |
|    time_elapsed         | 191         |
|    total_timesteps      | 2304        |
| train/                  |             |
|    approx_kl            | 0.010052724 |
|    clip_fraction        | 0.0414      |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.19       |
|    explained_variance   | -0.145      |
|    learning_rate        | 0.0003      |
|    loss                 | 6.69        |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.00882    |
|    std                  | 0.975       |
|    value_loss           | 13.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -71.9       |
| time/                   |             |
|    fps                  | 11          |
|    iterations           | 19          |
|    time_elapsed         | 208         |
|    total_timesteps      | 2432        |
| train/                  |             |
|    approx_kl            | 0.009725375 |
|    clip_fraction        | 0.236       |
|    clip_range           | 0.2         |
|    entropy_loss         | -4.17       |
|    explained_variance   | -0.089      |
|    learning_rate        | 0.0003      |
|    loss                 | 4.23        |
|    n_updates            | 180         |
|    policy_gradient_loss | -0.0123     |
|    std                  | 0.97        |
|    value_loss           | 8.65        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 101        |
|    ep_rew_mean          | -70.8      |
| time/                   |            |
|    fps                  | 11         |
|    iterations           | 20         |
|    time_elapsed         | 225        |
|    total_timesteps      | 2560       |
| train/                  |            |
|    approx_kl            | 0.01050207 |
|    clip_fraction        | 0.043      |
|    clip_range           | 0.2        |
|    entropy_loss         | -4.16      |
|    explained_variance   | -0.1       |
|    learning_rate        | 0.0003     |
|    loss                 | 6.25       |
|    n_updates            | 190        |
|    policy_gradient_loss | -0.00557   |
|    std                  | 0.965      |
|    value_loss           | 12.6       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -69.4        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 21           |
|    time_elapsed         | 240          |
|    total_timesteps      | 2688         |
| train/                  |              |
|    approx_kl            | 0.0046006883 |
|    clip_fraction        | 0.0187       |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.15        |
|    explained_variance   | -0.0167      |
|    learning_rate        | 0.0003       |
|    loss                 | 12.1         |
|    n_updates            | 200          |
|    policy_gradient_loss | 0.00461      |
|    std                  | 0.963        |
|    value_loss           | 24.5         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -67.9        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 22           |
|    time_elapsed         | 251          |
|    total_timesteps      | 2816         |
| train/                  |              |
|    approx_kl            | 0.0048066643 |
|    clip_fraction        | 0.00313      |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.14        |
|    explained_variance   | -0.0693      |
|    learning_rate        | 0.0003       |
|    loss                 | 3.63         |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.00247     |
|    std                  | 0.961        |
|    value_loss           | 7.45         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -65.6        |
| time/                   |              |
|    fps                  | 11           |
|    iterations           | 23           |
|    time_elapsed         | 264          |
|    total_timesteps      | 2944         |
| train/                  |              |
|    approx_kl            | 0.0040981215 |
|    clip_fraction        | 0.00547      |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.13        |
|    explained_variance   | -0.0167      |
